fixed acidity,citric acid,residual sugar,free sulfur dioxide,total sulfur dioxide,density,volatile acidity,chlorides,sulphates,pH,alcohol,quality_label,type
7.4,0.0,1.9,11.0,34.0,0.9978,0.7,0.076,0.56,3.51,9.4,0,red
7.8,0.0,2.6,25.0,67.0,0.9968,0.88,0.098,0.68,3.2,9.8,0,red
7.8,0.04,2.3,15.0,54.0,0.997,0.76,0.092,0.65,3.26,9.8,0,red
11.2,0.56,1.9,17.0,60.0,0.998,0.28,0.075,0.58,3.16,9.8,1,red
7.4,0.0,1.9,11.0,34.0,0.9978,0.7,0.076,0.56,3.51,9.4,0,red
7.4,0.0,1.8,13.0,40.0,0.9978,0.66,0.075,0.56,3.51,9.4,0,red
7.9,0.06,1.6,15.0,59.0,0.9964,0.6,0.069,0.46,3.3,9.4,0,red
7.3,0.0,1.2,15.0,21.0,0.9946,0.65,0.065,0.47,3.39,10.0,1,red
7.8,0.02,2.0,9.0,18.0,0.9968,0.58,0.073,0.57,3.36,9.5,1,red
6.7,0.08,1.8,15.0,65.0,0.9959,0.58,0.097,0.54,3.28,9.2,0,red
5.6,0.0,1.6,16.0,59.0,0.9943,0.615,0.089,0.52,3.58,9.9,0,red
8.5,0.56,1.8,35.0,103.0,0.9969,0.28,0.092,0.75,3.3,10.5,1,red
8.9,0.48,1.8,29.0,60.0,0.9968,0.22,0.077,0.53,3.39,9.4,1,red
7.6,0.31,2.3,23.0,71.0,0.9982,0.39,0.082,0.65,3.52,9.7,0,red
7.9,0.21,1.6,10.0,37.0,0.9966,0.43,0.106,0.91,3.17,9.5,0,red
8.5,0.11,2.3,9.0,67.0,0.9968,0.49,0.084,0.53,3.17,9.4,0,red
6.9,0.14,2.4,21.0,40.0,0.9968,0.4,0.085,0.63,3.43,9.7,1,red
6.3,0.16,1.4,11.0,23.0,0.9955,0.39,0.08,0.56,3.34,9.3,0,red
7.6,0.24,1.8,4.0,11.0,0.9962,0.41,0.08,0.59,3.28,9.5,0,red
7.9,0.21,1.6,10.0,37.0,0.9966,0.43,0.106,0.91,3.17,9.5,0,red
7.1,0.0,1.9,14.0,35.0,0.9972,0.71,0.08,0.55,3.47,9.4,0,red
7.8,0.0,2.0,8.0,16.0,0.9964,0.645,0.082,0.59,3.38,9.8,1,red
6.7,0.07,2.4,17.0,82.0,0.9958,0.675,0.089,0.54,3.35,10.1,0,red
6.9,0.0,2.5,22.0,37.0,0.9966,0.685,0.105,0.57,3.46,10.6,1,red
8.3,0.12,2.3,15.0,113.0,0.9966,0.655,0.083,0.66,3.17,9.8,0,red
5.2,0.25,1.8,13.0,50.0,0.9957,0.32,0.103,0.55,3.38,9.2,0,red
7.8,0.14,2.4,3.0,15.0,0.9975,0.6,0.086,0.6,3.42,10.8,1,red
8.1,0.28,2.1,13.0,30.0,0.9968,0.38,0.066,0.73,3.23,9.7,1,red
8.8,0.3,2.8,17.0,46.0,0.9976,0.61,0.088,0.51,3.26,9.3,0,red
6.8,0.02,1.8,5.0,11.0,0.9962,0.67,0.05,0.52,3.48,9.5,0,red
4.6,0.15,2.1,8.0,65.0,0.9934,0.52,0.054,0.56,3.9,13.1,0,red
7.7,0.43,2.2,22.0,114.0,0.997,0.935,0.114,0.73,3.25,9.2,0,red
8.7,0.52,1.6,12.0,37.0,0.9969,0.29,0.113,0.58,3.25,9.5,0,red
6.4,0.23,1.6,5.0,12.0,0.9958,0.4,0.066,0.56,3.34,9.2,0,red
5.6,0.37,1.4,12.0,96.0,0.9954,0.31,0.074,0.58,3.32,9.2,0,red
8.8,0.26,1.7,4.0,23.0,0.9971,0.66,0.074,0.74,3.15,9.2,0,red
6.6,0.04,2.2,8.0,15.0,0.9956,0.52,0.069,0.63,3.4,9.4,1,red
6.6,0.04,2.1,6.0,14.0,0.9955,0.5,0.068,0.64,3.39,9.4,1,red
8.6,0.36,3.0,30.0,119.0,0.997,0.38,0.081,0.56,3.2,9.4,0,red
7.6,0.15,2.8,33.0,73.0,0.9955,0.51,0.11,0.63,3.17,10.2,1,red
7.7,0.04,3.8,25.0,45.0,0.9978,0.62,0.084,0.53,3.34,9.5,0,red
10.2,0.57,3.4,4.0,10.0,0.9971,0.42,0.07,0.63,3.04,9.6,0,red
7.8,0.18,2.3,17.0,54.0,0.9975,0.59,0.076,0.59,3.43,10.0,0,red
7.3,0.31,2.4,9.0,46.0,0.9962,0.39,0.074,0.54,3.41,9.4,1,red
8.8,0.4,2.2,19.0,52.0,0.998,0.4,0.079,0.64,3.44,9.2,0,red
7.7,0.49,1.8,20.0,112.0,0.9968,0.69,0.115,0.71,3.21,9.3,0,red
7.5,0.16,1.9,12.0,35.0,0.9968,0.52,0.085,0.62,3.38,9.5,1,red
7.0,0.05,2.0,13.0,54.0,0.9966,0.735,0.081,0.57,3.39,9.8,0,red
7.5,0.11,1.5,11.0,39.0,0.9968,0.52,0.079,0.58,3.42,9.6,0,red
6.6,0.07,1.6,6.0,15.0,0.9962,0.705,0.076,0.58,3.44,10.7,0,red
9.3,0.57,2.0,27.0,65.0,0.9969,0.32,0.074,0.79,3.28,10.7,0,red
8.0,0.05,1.9,8.0,19.0,0.9962,0.705,0.074,0.95,3.34,10.5,1,red
7.7,0.08,1.9,15.0,27.0,0.9967,0.63,0.076,0.54,3.32,9.5,1,red
7.7,0.23,2.1,17.0,96.0,0.9962,0.67,0.088,0.48,3.32,9.5,0,red
7.7,0.22,1.9,18.0,94.0,0.9961,0.69,0.084,0.48,3.31,9.5,0,red
8.3,0.26,2.1,11.0,43.0,0.9976,0.675,0.084,0.53,3.31,9.2,0,red
9.7,0.54,2.5,28.0,83.0,0.9984,0.32,0.094,0.82,3.28,9.6,0,red
8.8,0.64,2.2,9.0,42.0,0.9986,0.41,0.093,0.66,3.54,10.5,0,red
8.8,0.64,2.2,9.0,42.0,0.9986,0.41,0.093,0.66,3.54,10.5,0,red
6.8,0.0,2.4,14.0,30.0,0.9966,0.785,0.104,0.55,3.52,10.7,1,red
6.7,0.12,2.0,12.0,80.0,0.9958,0.75,0.086,0.52,3.38,10.1,0,red
8.3,0.2,1.5,27.0,119.0,0.9972,0.625,0.08,1.12,3.16,9.1,0,red
6.2,0.2,1.6,3.0,15.0,0.9958,0.45,0.069,0.56,3.41,9.2,0,red
7.4,0.47,2.0,21.0,73.0,0.997,0.5,0.086,0.57,3.36,9.1,0,red
6.3,0.48,1.8,18.0,61.0,0.9959,0.3,0.069,0.78,3.44,10.3,1,red
6.9,0.15,2.2,19.0,40.0,0.9961,0.55,0.076,0.59,3.41,10.1,0,red
7.7,0.26,1.9,9.0,31.0,0.9966,0.49,0.062,0.64,3.39,9.6,0,red
7.0,0.08,1.8,8.0,24.0,0.9978,0.62,0.076,0.53,3.48,9.0,0,red
7.9,0.26,1.9,42.0,140.0,0.9964,0.52,0.079,0.54,3.23,9.5,0,red
7.7,0.26,1.9,9.0,31.0,0.9966,0.49,0.062,0.64,3.39,9.6,0,red
5.0,0.04,1.4,41.0,85.0,0.9938,1.02,0.045,0.48,3.75,10.5,0,red
4.7,0.17,2.3,17.0,106.0,0.9932,0.6,0.058,0.6,3.85,12.9,1,red
6.8,0.0,3.0,8.0,23.0,0.9965,0.775,0.102,0.56,3.45,10.7,0,red
7.0,0.25,2.0,3.0,22.0,0.9963,0.5,0.07,0.63,3.25,9.2,0,red
7.6,0.06,2.5,5.0,10.0,0.9967,0.9,0.079,0.56,3.39,9.8,0,red
8.1,0.18,1.9,13.0,35.0,0.9972,0.545,0.08,0.59,3.3,9.0,1,red
8.3,0.3,2.1,11.0,50.0,0.9972,0.61,0.084,0.61,3.4,10.2,1,red
7.8,0.3,1.9,8.0,22.0,0.9959,0.5,0.075,0.56,3.31,10.4,1,red
8.1,0.18,1.9,13.0,35.0,0.9972,0.545,0.08,0.59,3.3,9.0,1,red
8.1,0.22,2.1,12.0,65.0,0.9967,0.575,0.077,0.51,3.29,9.2,0,red
7.2,0.24,2.2,5.0,36.0,0.996,0.49,0.07,0.48,3.33,9.4,0,red
8.1,0.22,2.1,12.0,65.0,0.9967,0.575,0.077,0.51,3.29,9.2,0,red
6.2,0.31,1.7,15.0,64.0,0.9969,0.63,0.088,0.79,3.46,9.3,0,red
8.0,0.53,2.5,18.0,80.0,0.9976,0.33,0.091,0.8,3.37,9.6,1,red
8.1,0.52,2.0,37.0,153.0,0.9969,0.785,0.122,0.69,3.21,9.3,0,red
7.8,0.19,1.8,12.0,47.0,0.9964,0.56,0.104,0.93,3.19,9.5,0,red
8.4,0.09,2.2,11.0,108.0,0.9964,0.62,0.084,0.66,3.15,9.8,0,red
8.4,0.1,2.2,14.0,111.0,0.9964,0.6,0.085,0.66,3.15,9.8,0,red
10.1,0.44,2.3,22.0,46.0,0.9988,0.31,0.08,0.67,3.32,9.7,1,red
7.8,0.19,1.8,12.0,47.0,0.9964,0.56,0.104,0.93,3.19,9.5,0,red
9.4,0.31,2.2,13.0,62.0,0.9966,0.4,0.09,0.63,3.07,10.5,1,red
8.3,0.28,1.9,11.0,40.0,0.9978,0.54,0.077,0.61,3.39,10.0,1,red
7.8,0.12,2.0,7.0,28.0,0.997,0.56,0.082,0.5,3.37,9.4,1,red
8.8,0.04,2.2,14.0,56.0,0.9962,0.55,0.119,0.6,3.21,10.9,1,red
7.0,0.08,1.8,22.0,89.0,0.9959,0.69,0.097,0.54,3.34,9.2,1,red
8.8,0.04,2.2,14.0,56.0,0.9962,0.55,0.119,0.6,3.21,10.9,1,red
7.3,0.0,2.5,3.0,13.0,0.998,0.695,0.075,0.52,3.49,9.2,0,red
8.0,0.0,2.6,11.0,34.0,0.9976,0.71,0.08,0.53,3.44,9.5,0,red
7.8,0.17,1.6,21.0,102.0,0.996,0.5,0.082,0.48,3.39,9.5,0,red
8.2,0.0,1.7,3.0,12.0,0.9964,1.33,0.081,0.49,3.53,10.9,0,red
8.1,0.0,1.8,3.0,12.0,0.9964,1.33,0.082,0.48,3.54,10.9,0,red
8.0,0.16,1.8,3.0,16.0,0.9962,0.59,0.065,0.92,3.42,10.5,1,red
6.1,0.15,1.8,6.0,19.0,0.9955,0.38,0.072,0.57,3.42,9.4,0,red
8.0,0.56,2.0,30.0,134.0,0.9968,0.745,0.118,0.66,3.24,9.4,0,red
5.6,0.09,2.3,17.0,99.0,0.9937,0.5,0.049,0.63,3.63,13.0,0,red
5.6,0.09,2.3,17.0,99.0,0.9937,0.5,0.049,0.63,3.63,13.0,0,red
6.6,0.01,1.5,17.0,26.0,0.9952,0.5,0.06,0.58,3.4,9.8,1,red
7.9,0.05,2.2,13.0,29.0,0.9959,1.04,0.084,0.55,3.22,9.9,1,red
8.4,0.11,1.9,16.0,63.0,0.9965,0.745,0.09,0.82,3.19,9.6,0,red
8.3,0.15,1.8,10.0,52.0,0.9968,0.715,0.089,0.77,3.23,9.5,0,red
7.2,0.36,2.0,13.0,45.0,0.9972,0.415,0.081,0.64,3.48,9.2,0,red
7.8,0.19,2.1,15.0,105.0,0.9962,0.56,0.081,0.54,3.33,9.5,0,red
7.8,0.19,2.0,17.0,108.0,0.9962,0.56,0.081,0.54,3.32,9.5,0,red
8.4,0.11,1.9,16.0,63.0,0.9965,0.745,0.09,0.82,3.19,9.6,0,red
8.3,0.15,1.8,10.0,52.0,0.9968,0.715,0.089,0.77,3.23,9.5,0,red
5.2,0.0,1.8,27.0,63.0,0.9916,0.34,0.05,0.79,3.68,14.0,1,red
6.3,0.08,1.7,3.0,20.0,0.9954,0.39,0.066,0.58,3.34,9.4,0,red
5.2,0.0,1.8,27.0,63.0,0.9916,0.34,0.05,0.79,3.68,14.0,1,red
8.1,0.55,1.8,32.0,141.0,0.9968,0.67,0.117,0.62,3.17,9.4,0,red
5.8,0.02,1.8,21.0,94.0,0.9944,0.68,0.087,0.52,3.54,10.0,0,red
6.9,0.1,2.3,12.0,30.0,0.9959,0.49,0.074,0.58,3.42,10.2,1,red
8.2,0.44,2.8,11.0,43.0,0.9975,0.4,0.089,0.61,3.53,10.5,1,red
7.3,0.47,2.1,5.0,11.0,0.9958,0.33,0.077,0.53,3.33,10.3,1,red
7.5,0.03,1.8,25.0,99.0,0.995,0.6,0.095,0.54,3.35,10.1,0,red
7.5,0.03,1.8,25.0,99.0,0.995,0.6,0.095,0.54,3.35,10.1,0,red
7.1,0.0,2.2,12.0,22.0,0.9969,0.68,0.073,0.5,3.48,9.3,0,red
6.8,0.18,1.9,18.0,86.0,0.9968,0.6,0.079,0.57,3.59,9.3,1,red
7.6,0.03,2.0,7.0,20.0,0.9959,0.95,0.09,0.56,3.2,9.6,0,red
7.6,0.02,1.3,9.0,20.0,0.9965,0.68,0.072,1.08,3.17,9.2,0,red
7.8,0.04,1.7,17.0,31.0,0.9964,0.53,0.076,0.56,3.33,10.0,1,red
7.8,0.48,1.7,14.0,96.0,0.9961,0.63,0.1,0.62,3.19,9.5,0,red
6.8,0.1,2.1,18.0,101.0,0.9956,0.64,0.085,0.52,3.34,10.2,0,red
7.3,0.03,1.6,17.0,42.0,0.9956,0.55,0.072,0.48,3.37,9.0,0,red
6.8,0.07,2.1,11.0,44.0,0.9953,0.63,0.089,0.55,3.47,10.4,1,red
7.9,0.03,1.8,4.0,8.0,0.9972,0.885,0.058,0.33,3.36,9.1,0,red
8.0,0.17,2.0,6.0,18.0,0.9972,0.42,0.073,0.61,3.29,9.2,1,red
8.0,0.17,2.0,6.0,18.0,0.9972,0.42,0.073,0.61,3.29,9.2,1,red
7.4,0.05,1.9,24.0,42.0,0.9961,0.62,0.068,0.57,3.42,11.5,1,red
7.3,0.21,2.0,7.0,35.0,0.9961,0.38,0.08,0.47,3.33,9.5,0,red
6.9,0.04,1.5,19.0,49.0,0.9958,0.5,0.085,0.78,3.35,9.5,0,red
7.3,0.21,2.0,7.0,35.0,0.9961,0.38,0.08,0.47,3.33,9.5,0,red
7.5,0.42,2.3,8.0,38.0,0.9972,0.52,0.087,0.61,3.58,10.5,1,red
7.0,0.0,2.5,7.0,20.0,0.9969,0.805,0.068,0.56,3.48,9.6,0,red
8.8,0.14,2.4,10.0,42.0,0.9969,0.61,0.067,0.59,3.19,9.5,0,red
8.8,0.14,2.4,10.0,42.0,0.9969,0.61,0.067,0.59,3.19,9.5,0,red
7.2,0.02,2.5,16.0,42.0,0.9972,0.73,0.076,0.52,3.44,9.3,0,red
6.8,0.2,1.8,11.0,65.0,0.9971,0.61,0.077,0.58,3.54,9.3,0,red
6.7,0.21,1.9,8.0,62.0,0.997,0.62,0.079,0.58,3.52,9.3,1,red
8.9,0.57,2.0,26.0,85.0,0.9971,0.31,0.111,0.53,3.26,9.7,0,red
7.4,0.48,2.0,14.0,67.0,0.9972,0.39,0.082,0.55,3.34,9.2,0,red
7.7,0.1,2.6,9.0,26.0,0.9976,0.705,0.084,0.49,3.39,9.7,0,red
7.9,0.33,2.0,15.0,143.0,0.9968,0.5,0.084,0.55,3.2,9.5,0,red
7.9,0.32,1.9,17.0,144.0,0.9968,0.49,0.082,0.55,3.2,9.5,0,red
8.2,0.35,2.9,21.0,127.0,0.9976,0.5,0.077,0.62,3.23,9.4,0,red
6.4,0.25,1.9,21.0,49.0,0.9974,0.37,0.074,0.62,3.57,9.8,1,red
6.8,0.12,3.8,16.0,126.0,0.9969,0.63,0.099,0.61,3.28,9.5,0,red
7.6,0.21,2.2,7.0,28.0,0.9964,0.55,0.071,0.55,3.28,9.7,0,red
7.6,0.21,2.2,7.0,28.0,0.9964,0.55,0.071,0.55,3.28,9.7,0,red
7.8,0.33,2.0,24.0,120.0,0.9968,0.59,0.074,0.54,3.25,9.4,0,red
7.3,0.3,2.4,15.0,55.0,0.9968,0.58,0.074,0.59,3.46,10.2,0,red
11.5,0.6,2.0,12.0,27.0,0.9981,0.3,0.067,0.97,3.11,10.1,1,red
5.4,0.08,1.2,13.0,93.0,0.9924,0.835,0.046,0.85,3.57,13.0,1,red
6.9,0.06,2.1,12.0,31.0,0.9948,1.09,0.061,0.43,3.51,11.4,0,red
9.6,0.47,1.4,9.0,24.0,0.99695,0.32,0.056,0.82,3.22,10.3,1,red
8.8,0.48,2.1,39.0,145.0,0.9975,0.37,0.097,1.03,3.04,9.3,0,red
6.8,0.11,1.5,16.0,49.0,0.99545,0.5,0.075,0.79,3.36,9.5,0,red
7.0,0.35,1.6,16.0,39.0,0.9961,0.42,0.088,0.55,3.34,9.2,0,red
7.0,0.36,1.6,14.0,37.0,0.99615,0.43,0.089,0.56,3.34,9.2,1,red
12.8,0.74,2.6,9.0,28.0,0.9994,0.3,0.095,0.77,3.2,10.8,1,red
12.8,0.74,2.6,9.0,28.0,0.9994,0.3,0.095,0.77,3.2,10.8,1,red
7.8,0.31,1.8,26.0,120.0,0.99625,0.57,0.069,0.53,3.29,9.3,0,red
7.8,0.28,2.7,18.0,95.0,0.9966,0.44,0.1,0.67,3.22,9.4,0,red
11.0,0.58,2.1,7.0,19.0,0.998,0.3,0.054,0.88,3.31,10.5,1,red
9.7,0.6,2.0,5.0,19.0,0.99585,0.53,0.039,0.86,3.3,12.4,1,red
8.0,0.24,2.8,10.0,62.0,0.99685,0.725,0.083,0.56,3.35,10.0,1,red
11.6,0.64,2.1,5.0,15.0,0.998,0.44,0.059,0.67,3.21,10.2,1,red
8.2,0.26,2.2,28.0,65.0,0.9959,0.57,0.06,0.43,3.3,10.1,0,red
7.8,0.08,2.4,10.0,41.0,0.9974,0.735,0.092,0.71,3.24,9.8,1,red
8.7,0.16,2.0,13.0,49.0,0.9962,0.625,0.101,0.57,3.14,11.0,0,red
8.1,0.22,2.2,11.0,41.0,0.9967,0.725,0.072,0.55,3.36,9.1,0,red
7.5,0.19,1.9,10.0,44.0,0.9957,0.49,0.076,0.54,3.39,9.7,0,red
7.8,0.33,2.4,24.0,144.0,0.99655,0.53,0.08,0.6,3.3,9.5,0,red
7.8,0.37,2.0,24.0,58.0,0.9964,0.34,0.082,0.59,3.34,9.4,1,red
7.4,0.26,2.0,16.0,72.0,0.9957,0.53,0.101,0.57,3.15,9.4,0,red
6.8,0.04,1.5,5.0,10.0,0.99525,0.61,0.057,0.6,3.42,9.5,0,red
8.6,0.25,2.0,8.0,28.0,0.99815,0.645,0.083,0.6,3.28,10.0,1,red
8.4,0.36,2.0,15.0,55.0,0.99745,0.635,0.089,0.57,3.31,10.4,0,red
7.7,0.25,2.6,29.0,63.0,0.99615,0.43,0.073,0.58,3.37,10.5,1,red
9.0,0.14,2.6,9.0,23.0,0.9984,0.82,0.089,0.63,3.39,9.8,0,red
7.7,0.25,2.6,29.0,63.0,0.99615,0.43,0.073,0.58,3.37,10.5,1,red
6.9,0.25,2.6,10.0,37.0,0.99685,0.52,0.081,0.5,3.46,11.0,0,red
5.2,0.04,1.6,19.0,106.0,0.9927,0.48,0.054,0.62,3.54,12.2,1,red
8.0,0.06,1.8,12.0,49.0,0.99625,0.38,0.078,0.52,3.37,9.9,1,red
8.5,0.2,2.8,18.0,58.0,0.998,0.37,0.09,0.7,3.34,9.6,1,red
6.9,0.25,2.6,10.0,37.0,0.99685,0.52,0.081,0.5,3.46,11.0,0,red
8.2,0.09,2.3,7.0,37.0,0.99685,1.0,0.065,0.55,3.32,9.0,1,red
7.2,0.0,1.9,14.0,38.0,0.99675,0.63,0.097,0.58,3.37,9.0,1,red
7.2,0.0,1.9,14.0,38.0,0.99675,0.63,0.097,0.58,3.37,9.0,1,red
7.2,0.0,1.9,15.0,39.0,0.99675,0.645,0.097,0.58,3.37,9.2,1,red
7.2,0.0,1.9,14.0,38.0,0.99675,0.63,0.097,0.58,3.37,9.0,1,red
8.2,0.09,2.3,7.0,37.0,0.99685,1.0,0.065,0.55,3.32,9.0,1,red
12.0,0.56,2.1,6.0,24.0,0.99925,0.38,0.093,0.71,3.14,10.9,1,red
7.7,0.1,1.8,28.0,109.0,0.99565,0.58,0.102,0.49,3.08,9.8,1,red
15.0,0.44,2.2,10.0,24.0,1.00005,0.21,0.075,0.84,3.07,9.2,1,red
15.0,0.44,2.2,10.0,24.0,1.00005,0.21,0.075,0.84,3.07,9.2,1,red
7.3,0.0,2.0,6.0,23.0,0.9983,0.66,0.084,0.96,3.61,9.9,1,red
7.1,0.07,1.9,16.0,51.0,0.99685,0.68,0.075,0.52,3.38,9.5,0,red
8.2,0.17,2.3,11.0,73.0,0.9963,0.6,0.072,0.45,3.2,9.3,0,red
7.7,0.06,1.7,9.0,39.0,0.99615,0.53,0.074,0.48,3.35,9.8,1,red
7.3,0.0,2.0,6.0,23.0,0.9983,0.66,0.084,0.96,3.61,9.9,1,red
10.8,0.44,1.6,16.0,37.0,0.9985,0.32,0.063,0.78,3.22,10.0,1,red
7.1,0.0,1.8,16.0,34.0,0.9972,0.6,0.074,0.7,3.47,9.9,1,red
11.1,0.48,3.1,5.0,21.0,0.9986,0.35,0.09,0.53,3.17,10.5,0,red
7.7,0.42,1.9,8.0,86.0,0.9959,0.775,0.092,0.59,3.23,9.5,0,red
7.1,0.0,1.8,16.0,34.0,0.9972,0.6,0.074,0.7,3.47,9.9,1,red
8.0,0.23,3.2,17.0,119.0,0.99675,0.57,0.073,0.57,3.26,9.3,0,red
9.4,0.37,2.2,5.0,13.0,0.998,0.34,0.075,0.62,3.22,9.2,0,red
6.6,0.0,2.1,12.0,56.0,0.9968,0.695,0.075,0.67,3.49,9.2,0,red
10.0,0.47,2.6,14.0,33.0,0.99965,0.31,0.085,0.8,3.36,10.5,1,red
7.9,0.23,1.7,18.0,45.0,0.99625,0.33,0.077,0.65,3.29,9.3,0,red
7.0,0.04,2.0,12.0,67.0,0.99565,0.975,0.087,0.6,3.35,9.4,0,red
8.0,0.03,1.7,10.0,35.0,0.99575,0.52,0.07,0.57,3.34,10.0,0,red
7.9,0.23,1.8,23.0,49.0,0.9963,0.37,0.077,0.67,3.28,9.3,0,red
