type,fixed acidity,citric acid,residual sugar,free sulfur dioxide,total sulfur dioxide,density,volatile acidity,chlorides,sulphates,pH,alcohol,quality_label
red,7.4,0.0,1.9,11.0,34.0,0.9978,0.7,0.076,0.56,3.51,9.4,0
red,7.8,0.0,2.6,25.0,67.0,0.9968,0.88,0.098,0.68,3.2,9.8,0
red,7.8,0.04,2.3,15.0,54.0,0.997,0.76,0.092,0.65,3.26,9.8,0
red,11.2,0.56,1.9,17.0,60.0,0.998,0.28,0.075,0.58,3.16,9.8,1
red,7.4,0.0,1.9,11.0,34.0,0.9978,0.7,0.076,0.56,3.51,9.4,0
red,7.4,0.0,1.8,13.0,40.0,0.9978,0.66,0.075,0.56,3.51,9.4,0
red,7.9,0.06,1.6,15.0,59.0,0.9964,0.6,0.069,0.46,3.3,9.4,0
red,7.3,0.0,1.2,15.0,21.0,0.9946,0.65,0.065,0.47,3.39,10.0,1
red,7.8,0.02,2.0,9.0,18.0,0.9968,0.58,0.073,0.57,3.36,9.5,1
red,6.7,0.08,1.8,15.0,65.0,0.9959,0.58,0.097,0.54,3.28,9.2,0
red,5.6,0.0,1.6,16.0,59.0,0.9943,0.615,0.089,0.52,3.58,9.9,0
red,8.5,0.56,1.8,35.0,103.0,0.9969,0.28,0.092,0.75,3.3,10.5,1
red,8.9,0.48,1.8,29.0,60.0,0.9968,0.22,0.077,0.53,3.39,9.4,1
red,7.6,0.31,2.3,23.0,71.0,0.9982,0.39,0.082,0.65,3.52,9.7,0
red,7.9,0.21,1.6,10.0,37.0,0.9966,0.43,0.106,0.91,3.17,9.5,0
red,8.5,0.11,2.3,9.0,67.0,0.9968,0.49,0.084,0.53,3.17,9.4,0
red,6.9,0.14,2.4,21.0,40.0,0.9968,0.4,0.085,0.63,3.43,9.7,1
red,6.3,0.16,1.4,11.0,23.0,0.9955,0.39,0.08,0.56,3.34,9.3,0
red,7.6,0.24,1.8,4.0,11.0,0.9962,0.41,0.08,0.59,3.28,9.5,0
red,7.9,0.21,1.6,10.0,37.0,0.9966,0.43,0.106,0.91,3.17,9.5,0
red,7.1,0.0,1.9,14.0,35.0,0.9972,0.71,0.08,0.55,3.47,9.4,0
red,7.8,0.0,2.0,8.0,16.0,0.9964,0.645,0.082,0.59,3.38,9.8,1
red,6.7,0.07,2.4,17.0,82.0,0.9958,0.675,0.089,0.54,3.35,10.1,0
red,6.9,0.0,2.5,22.0,37.0,0.9966,0.685,0.105,0.57,3.46,10.6,1
red,8.3,0.12,2.3,15.0,113.0,0.9966,0.655,0.083,0.66,3.17,9.8,0
red,5.2,0.25,1.8,13.0,50.0,0.9957,0.32,0.103,0.55,3.38,9.2,0
red,7.8,0.14,2.4,3.0,15.0,0.9975,0.6,0.086,0.6,3.42,10.8,1
red,8.1,0.28,2.1,13.0,30.0,0.9968,0.38,0.066,0.73,3.23,9.7,1
red,8.8,0.3,2.8,17.0,46.0,0.9976,0.61,0.088,0.51,3.26,9.3,0
red,6.8,0.02,1.8,5.0,11.0,0.9962,0.67,0.05,0.52,3.48,9.5,0
red,4.6,0.15,2.1,8.0,65.0,0.9934,0.52,0.054,0.56,3.9,13.1,0
red,7.7,0.43,2.2,22.0,114.0,0.997,0.935,0.114,0.73,3.25,9.2,0
red,8.7,0.52,1.6,12.0,37.0,0.9969,0.29,0.113,0.58,3.25,9.5,0
red,6.4,0.23,1.6,5.0,12.0,0.9958,0.4,0.066,0.56,3.34,9.2,0
red,5.6,0.37,1.4,12.0,96.0,0.9954,0.31,0.074,0.58,3.32,9.2,0
red,8.8,0.26,1.7,4.0,23.0,0.9971,0.66,0.074,0.74,3.15,9.2,0
red,6.6,0.04,2.2,8.0,15.0,0.9956,0.52,0.069,0.63,3.4,9.4,1
red,6.6,0.04,2.1,6.0,14.0,0.9955,0.5,0.068,0.64,3.39,9.4,1
red,8.6,0.36,3.0,30.0,119.0,0.997,0.38,0.081,0.56,3.2,9.4,0
red,7.6,0.15,2.8,33.0,73.0,0.9955,0.51,0.11,0.63,3.17,10.2,1
red,7.7,0.04,3.8,25.0,45.0,0.9978,0.62,0.084,0.53,3.34,9.5,0
red,10.2,0.57,3.4,4.0,10.0,0.9971,0.42,0.07,0.63,3.04,9.6,0
red,7.8,0.18,2.3,17.0,54.0,0.9975,0.59,0.076,0.59,3.43,10.0,0
red,7.3,0.31,2.4,9.0,46.0,0.9962,0.39,0.074,0.54,3.41,9.4,1
red,8.8,0.4,2.2,19.0,52.0,0.998,0.4,0.079,0.64,3.44,9.2,0
red,7.7,0.49,1.8,20.0,112.0,0.9968,0.69,0.115,0.71,3.21,9.3,0
red,7.5,0.16,1.9,12.0,35.0,0.9968,0.52,0.085,0.62,3.38,9.5,1
red,7.0,0.05,2.0,13.0,54.0,0.9966,0.735,0.081,0.57,3.39,9.8,0
red,7.5,0.11,1.5,11.0,39.0,0.9968,0.52,0.079,0.58,3.42,9.6,0
red,6.6,0.07,1.6,6.0,15.0,0.9962,0.705,0.076,0.58,3.44,10.7,0
red,9.3,0.57,2.0,27.0,65.0,0.9969,0.32,0.074,0.79,3.28,10.7,0
red,8.0,0.05,1.9,8.0,19.0,0.9962,0.705,0.074,0.95,3.34,10.5,1
red,7.7,0.08,1.9,15.0,27.0,0.9967,0.63,0.076,0.54,3.32,9.5,1
red,7.7,0.23,2.1,17.0,96.0,0.9962,0.67,0.088,0.48,3.32,9.5,0
red,7.7,0.22,1.9,18.0,94.0,0.9961,0.69,0.084,0.48,3.31,9.5,0
red,8.3,0.26,2.1,11.0,43.0,0.9976,0.675,0.084,0.53,3.31,9.2,0
red,9.7,0.54,2.5,28.0,83.0,0.9984,0.32,0.094,0.82,3.28,9.6,0
red,8.8,0.64,2.2,9.0,42.0,0.9986,0.41,0.093,0.66,3.54,10.5,0
red,8.8,0.64,2.2,9.0,42.0,0.9986,0.41,0.093,0.66,3.54,10.5,0
red,6.8,0.0,2.4,14.0,30.0,0.9966,0.785,0.104,0.55,3.52,10.7,1
red,6.7,0.12,2.0,12.0,80.0,0.9958,0.75,0.086,0.52,3.38,10.1,0
red,8.3,0.2,1.5,27.0,119.0,0.9972,0.625,0.08,1.12,3.16,9.1,0
red,6.2,0.2,1.6,3.0,15.0,0.9958,0.45,0.069,0.56,3.41,9.2,0
red,7.4,0.47,2.0,21.0,73.0,0.997,0.5,0.086,0.57,3.36,9.1,0
red,6.3,0.48,1.8,18.0,61.0,0.9959,0.3,0.069,0.78,3.44,10.3,1
red,6.9,0.15,2.2,19.0,40.0,0.9961,0.55,0.076,0.59,3.41,10.1,0
red,7.7,0.26,1.9,9.0,31.0,0.9966,0.49,0.062,0.64,3.39,9.6,0
red,7.0,0.08,1.8,8.0,24.0,0.9978,0.62,0.076,0.53,3.48,9.0,0
red,7.9,0.26,1.9,42.0,140.0,0.9964,0.52,0.079,0.54,3.23,9.5,0
red,7.7,0.26,1.9,9.0,31.0,0.9966,0.49,0.062,0.64,3.39,9.6,0
red,5.0,0.04,1.4,41.0,85.0,0.9938,1.02,0.045,0.48,3.75,10.5,0
red,4.7,0.17,2.3,17.0,106.0,0.9932,0.6,0.058,0.6,3.85,12.9,1
red,6.8,0.0,3.0,8.0,23.0,0.9965,0.775,0.102,0.56,3.45,10.7,0
red,7.0,0.25,2.0,3.0,22.0,0.9963,0.5,0.07,0.63,3.25,9.2,0
red,7.6,0.06,2.5,5.0,10.0,0.9967,0.9,0.079,0.56,3.39,9.8,0
red,8.1,0.18,1.9,13.0,35.0,0.9972,0.545,0.08,0.59,3.3,9.0,1
red,8.3,0.3,2.1,11.0,50.0,0.9972,0.61,0.084,0.61,3.4,10.2,1
red,7.8,0.3,1.9,8.0,22.0,0.9959,0.5,0.075,0.56,3.31,10.4,1
red,8.1,0.18,1.9,13.0,35.0,0.9972,0.545,0.08,0.59,3.3,9.0,1
red,8.1,0.22,2.1,12.0,65.0,0.9967,0.575,0.077,0.51,3.29,9.2,0
red,7.2,0.24,2.2,5.0,36.0,0.996,0.49,0.07,0.48,3.33,9.4,0
red,8.1,0.22,2.1,12.0,65.0,0.9967,0.575,0.077,0.51,3.29,9.2,0
red,6.2,0.31,1.7,15.0,64.0,0.9969,0.63,0.088,0.79,3.46,9.3,0
red,8.0,0.53,2.5,18.0,80.0,0.9976,0.33,0.091,0.8,3.37,9.6,1
red,8.1,0.52,2.0,37.0,153.0,0.9969,0.785,0.122,0.69,3.21,9.3,0
red,7.8,0.19,1.8,12.0,47.0,0.9964,0.56,0.104,0.93,3.19,9.5,0
red,8.4,0.09,2.2,11.0,108.0,0.9964,0.62,0.084,0.66,3.15,9.8,0
red,8.4,0.1,2.2,14.0,111.0,0.9964,0.6,0.085,0.66,3.15,9.8,0
red,10.1,0.44,2.3,22.0,46.0,0.9988,0.31,0.08,0.67,3.32,9.7,1
red,7.8,0.19,1.8,12.0,47.0,0.9964,0.56,0.104,0.93,3.19,9.5,0
red,9.4,0.31,2.2,13.0,62.0,0.9966,0.4,0.09,0.63,3.07,10.5,1
red,8.3,0.28,1.9,11.0,40.0,0.9978,0.54,0.077,0.61,3.39,10.0,1
red,7.8,0.12,2.0,7.0,28.0,0.997,0.56,0.082,0.5,3.37,9.4,1
red,8.8,0.04,2.2,14.0,56.0,0.9962,0.55,0.119,0.6,3.21,10.9,1
red,7.0,0.08,1.8,22.0,89.0,0.9959,0.69,0.097,0.54,3.34,9.2,1
red,8.8,0.04,2.2,14.0,56.0,0.9962,0.55,0.119,0.6,3.21,10.9,1
