type,fixed acidity,citric acid,residual sugar,free sulfur dioxide,total sulfur dioxide,density,volatile acidity,chlorides,sulphates,pH,alcohol,quality_label
white,7.0,0.36,20.7,45.0,170.0,1.001,0.27,0.045,0.45,3.0,8.8,1
white,6.3,0.34,1.6,14.0,132.0,0.994,0.3,0.049,0.49,3.3,9.5,1
white,8.1,0.4,6.9,30.0,97.0,0.9951,0.28,0.05,0.44,3.26,10.1,1
white,7.2,0.32,8.5,47.0,186.0,0.9956,0.23,0.058,0.4,3.19,9.9,1
white,7.2,0.32,8.5,47.0,186.0,0.9956,0.23,0.058,0.4,3.19,9.9,1
white,8.1,0.4,6.9,30.0,97.0,0.9951,0.28,0.05,0.44,3.26,10.1,1
white,6.2,0.16,7.0,30.0,136.0,0.9949,0.32,0.045,0.47,3.18,9.6,1
white,7.0,0.36,20.7,45.0,170.0,1.001,0.27,0.045,0.45,3.0,8.8,1
white,6.3,0.34,1.6,14.0,132.0,0.994,0.3,0.049,0.49,3.3,9.5,1
white,8.1,0.43,1.5,28.0,129.0,0.9938,0.22,0.044,0.45,3.22,11.0,1
white,8.1,0.41,1.45,11.0,63.0,0.9908,0.27,0.033,0.56,2.99,12.0,0
white,8.6,0.4,4.2,17.0,109.0,0.9947,0.23,0.035,0.53,3.14,9.7,0
white,7.9,0.37,1.2,16.0,75.0,0.992,0.18,0.04,0.63,3.18,10.8,0
white,6.6,0.4,1.5,48.0,143.0,0.9912,0.16,0.044,0.52,3.54,12.4,1
white,8.3,0.62,19.25,41.0,172.0,1.0002,0.42,0.04,0.67,2.98,9.7,0
white,6.6,0.38,1.5,28.0,112.0,0.9914,0.17,0.032,0.55,3.25,11.4,1
white,6.3,0.04,1.1,30.0,99.0,0.9928,0.48,0.046,0.36,3.24,9.6,1
white,7.4,0.42,1.1,17.0,171.0,0.9917,0.34,0.033,0.53,3.12,11.3,1
white,6.5,0.14,7.5,34.0,133.0,0.9955,0.31,0.044,0.5,3.22,9.5,0
white,6.2,0.48,1.2,29.0,75.0,0.9892,0.66,0.029,0.39,3.33,12.8,2
white,6.4,0.38,2.9,19.0,102.0,0.9912,0.31,0.038,0.35,3.17,11.0,1
white,6.8,0.42,1.7,41.0,122.0,0.993,0.26,0.049,0.48,3.47,10.5,2
white,7.6,0.14,1.5,25.0,168.0,0.9937,0.67,0.074,0.51,3.05,9.3,0
white,6.6,0.41,1.3,16.0,142.0,0.9951,0.27,0.052,0.47,3.42,10.0,1
white,7.0,0.32,9.0,56.0,245.0,0.9955,0.25,0.046,0.5,3.25,10.4,1
white,6.9,0.35,1.0,35.0,146.0,0.993,0.24,0.052,0.44,3.45,10.0,1
white,7.0,0.39,8.7,32.0,141.0,0.9961,0.28,0.051,0.53,3.38,10.5,1
white,7.4,0.48,1.1,17.0,132.0,0.9914,0.27,0.047,0.49,3.19,11.6,1
white,7.2,0.36,2.0,37.0,114.0,0.9906,0.32,0.033,0.71,3.1,12.3,1
white,8.5,0.39,10.4,20.0,142.0,0.9974,0.24,0.044,0.53,3.2,10.0,1
white,8.3,0.34,1.1,7.0,47.0,0.9934,0.14,0.042,0.4,3.47,10.2,1
white,7.4,0.36,2.05,31.0,100.0,0.992,0.25,0.05,0.44,3.19,10.8,1
white,5.8,0.2,14.95,22.0,179.0,0.9962,0.27,0.044,0.37,3.37,10.2,0
white,7.3,0.43,1.7,21.0,123.0,0.9905,0.28,0.08,0.42,3.19,12.8,0
white,6.5,0.23,5.4,25.0,149.0,0.9934,0.39,0.051,0.35,3.24,10.0,0
white,7.0,0.32,1.2,38.0,138.0,0.9906,0.33,0.053,0.28,3.13,11.2,1
white,7.3,0.39,17.95,45.0,149.0,0.9999,0.24,0.057,0.36,3.21,8.6,0
white,7.3,0.39,17.95,45.0,149.0,0.9999,0.24,0.057,0.36,3.21,8.6,0
white,6.7,0.39,2.5,63.0,158.0,0.9937,0.23,0.172,0.36,3.11,9.4,1
white,6.7,0.39,2.9,63.0,157.0,0.9937,0.24,0.173,0.34,3.1,9.4,1
white,7.0,0.26,7.4,28.0,160.0,0.9954,0.31,0.069,0.46,3.13,9.8,1
white,6.6,0.27,1.4,33.0,152.0,0.9934,0.24,0.057,0.56,3.22,9.5,1
white,6.7,0.26,1.4,33.0,154.0,0.9934,0.23,0.06,0.56,3.24,9.5,1
white,7.4,0.31,1.4,38.0,167.0,0.9931,0.18,0.058,0.53,3.16,10.0,1
white,6.2,0.26,4.4,63.0,206.0,0.994,0.45,0.063,0.52,3.27,9.8,0
white,6.2,0.25,4.4,62.0,207.0,0.9939,0.46,0.066,0.52,3.25,9.8,0
white,7.0,0.26,7.4,28.0,160.0,0.9954,0.31,0.069,0.46,3.13,9.8,1
white,6.9,0.35,5.0,32.0,150.0,0.995,0.19,0.067,0.48,3.36,9.8,0
white,7.2,0.31,1.6,31.0,173.0,0.9917,0.19,0.062,0.44,3.35,11.7,1
white,6.6,0.29,1.1,39.0,124.0,0.9914,0.25,0.068,0.58,3.34,11.0,1
white,6.2,0.33,1.1,21.0,82.0,0.991,0.16,0.057,0.46,3.32,10.9,1
white,6.4,0.35,1.0,39.0,108.0,0.9911,0.18,0.045,0.35,3.31,10.9,1
white,6.9,0.35,1.3,29.0,191.0,0.9908,0.25,0.039,0.52,3.13,11.0,1
white,7.2,0.34,11.9,37.0,213.0,0.9962,0.21,0.043,0.5,3.09,9.6,1
white,6.0,0.26,12.4,50.0,147.0,0.9972,0.19,0.048,0.36,3.3,8.9,1
white,6.6,0.15,4.6,25.0,78.0,0.9931,0.38,0.044,0.38,3.11,10.2,1
white,7.4,0.36,1.2,44.0,111.0,0.9926,0.2,0.038,0.34,3.36,9.9,1
white,6.8,0.24,4.9,30.0,123.0,0.9951,0.22,0.092,0.46,3.03,8.6,1
white,6.0,0.26,12.4,50.0,147.0,0.9972,0.19,0.048,0.36,3.3,8.9,1
white,7.0,0.07,1.1,17.0,151.0,0.991,0.47,0.035,0.34,3.02,10.5,0
white,6.6,0.15,4.6,25.0,78.0,0.9931,0.38,0.044,0.38,3.11,10.2,1
white,7.2,0.27,1.4,31.0,122.0,0.9927,0.24,0.038,0.46,3.15,10.3,1
white,6.2,0.03,1.2,29.0,120.0,0.9934,0.35,0.064,0.54,3.22,9.1,0
white,6.4,0.24,6.4,27.0,124.0,0.9903,0.26,0.04,0.49,3.22,12.6,1
white,6.7,0.13,1.2,81.0,174.0,0.992,0.25,0.041,0.42,3.14,9.8,0
white,6.7,0.31,2.1,30.0,96.0,0.9926,0.23,0.046,0.64,3.33,10.7,2
white,7.4,0.29,10.1,21.0,105.0,0.9962,0.24,0.05,0.35,3.13,9.5,0
white,6.2,0.43,7.8,48.0,244.0,0.9956,0.27,0.056,0.51,3.1,9.0,1
white,6.8,0.23,4.6,50.5,238.5,0.9958,0.3,0.061,0.6,3.32,9.5,0
white,6.0,0.28,4.8,31.0,201.0,0.9964,0.27,0.063,0.71,3.69,10.0,0
white,8.6,0.46,1.0,9.0,72.0,0.9941,0.23,0.054,0.49,2.95,9.1,1
white,6.7,0.31,2.1,30.0,96.0,0.9926,0.23,0.046,0.64,3.33,10.7,2
white,7.4,0.29,10.1,21.0,105.0,0.9962,0.24,0.05,0.35,3.13,9.5,0
white,7.1,0.36,1.4,31.0,87.0,0.9898,0.18,0.043,0.37,3.26,12.7,1
white,7.0,0.34,1.3,20.0,69.0,0.9912,0.32,0.042,0.65,3.31,12.0,1
white,7.4,0.3,8.8,26.0,103.0,0.9961,0.18,0.064,0.56,2.94,9.3,0
white,6.7,0.28,5.4,21.0,105.0,0.9949,0.54,0.06,0.37,3.27,9.0,0
white,6.8,0.31,1.4,34.0,114.0,0.9929,0.22,0.053,0.77,3.39,10.6,1
white,7.1,0.34,16.0,51.0,166.0,0.9985,0.2,0.05,0.6,3.21,9.2,1
white,7.1,0.2,6.1,47.0,164.0,0.9946,0.34,0.063,0.42,3.17,10.0,0
white,7.3,0.3,8.2,42.0,207.0,0.9966,0.22,0.047,0.46,3.33,9.5,1
white,7.1,0.61,11.8,54.0,155.0,0.9974,0.43,0.045,0.45,3.11,8.7,0
white,7.1,0.62,11.8,52.0,152.0,0.9975,0.44,0.044,0.46,3.12,8.7,1
white,6.8,0.31,13.3,69.0,202.0,0.9972,0.25,0.05,0.48,3.22,9.7,1
white,7.1,0.61,11.8,54.0,155.0,0.9974,0.43,0.045,0.45,3.11,8.7,0
white,7.1,0.62,11.8,52.0,152.0,0.9975,0.44,0.044,0.46,3.12,8.7,1
white,7.2,0.63,11.0,55.0,156.0,0.9974,0.39,0.044,0.44,3.09,8.7,1
white,6.1,0.43,7.5,65.0,243.0,0.9957,0.27,0.049,0.47,3.12,9.0,0
white,6.9,0.33,1.7,47.0,136.0,0.99,0.24,0.035,0.4,3.26,12.6,1
white,6.9,0.33,1.8,48.0,136.0,0.9899,0.21,0.034,0.41,3.25,12.6,1
white,7.5,0.32,1.7,51.0,148.0,0.9916,0.17,0.04,0.44,3.21,11.5,1
white,7.1,0.29,12.4,62.0,240.0,0.9969,0.26,0.044,0.42,3.04,9.2,1
white,6.0,0.66,15.9,26.0,164.0,0.9979,0.34,0.046,0.5,3.14,8.8,1
white,8.6,0.36,1.2,15.0,80.0,0.9913,0.265,0.034,0.36,2.95,11.4,1
white,6.0,0.66,15.9,26.0,164.0,0.9979,0.34,0.046,0.5,3.14,8.8,1
white,7.4,0.37,13.5,52.0,192.0,0.9975,0.25,0.06,0.44,3.0,9.1,0
white,7.1,0.32,9.6,64.0,162.0,0.9962,0.12,0.054,0.41,3.4,9.4,0
white,6.0,0.24,12.1,55.0,164.0,0.997,0.21,0.05,0.39,3.34,9.4,0
white,7.5,0.4,18.9,44.0,170.0,1.0,0.305,0.059,0.46,2.99,9.0,0
white,7.4,0.37,13.5,52.0,192.0,0.9975,0.25,0.06,0.44,3.0,9.1,0
white,7.3,0.32,14.4,34.0,109.0,0.9974,0.13,0.051,0.35,3.2,9.2,1
white,7.1,0.32,9.6,64.0,162.0,0.9962,0.12,0.054,0.41,3.4,9.4,0
white,7.1,0.35,16.5,60.0,171.0,0.999,0.23,0.04,0.59,3.16,9.1,1
white,7.1,0.35,16.5,60.0,171.0,0.999,0.23,0.04,0.59,3.16,9.1,1
white,6.9,0.28,1.3,37.0,187.0,0.9927,0.33,0.051,0.6,3.27,10.3,0
white,6.5,0.54,8.5,64.0,163.0,0.9959,0.17,0.082,0.39,2.89,8.8,1
white,7.2,0.46,18.75,45.0,255.0,1.0,0.27,0.052,0.52,3.04,8.9,0
white,7.2,0.5,13.3,68.0,195.0,0.9982,0.31,0.056,0.47,3.01,9.2,0
white,6.7,0.34,9.2,29.0,150.0,0.9968,0.41,0.049,0.51,3.22,9.1,0
white,6.7,0.34,9.2,29.0,150.0,0.9968,0.41,0.049,0.51,3.22,9.1,0
white,5.5,0.0,1.5,8.0,103.0,0.994,0.485,0.065,0.4,3.63,9.7,0
white,6.0,0.24,3.3,25.0,143.0,0.9914,0.31,0.041,0.44,3.31,11.3,1
white,7.0,0.4,1.7,16.0,85.0,0.9911,0.14,0.035,0.42,3.19,11.8,1
white,7.2,0.5,13.3,68.0,195.0,0.9982,0.31,0.056,0.47,3.01,9.2,0
white,7.3,0.48,13.3,57.0,196.0,0.9982,0.32,0.06,0.5,3.04,9.2,0
white,5.9,0.04,5.7,21.0,87.0,0.9934,0.36,0.046,0.51,3.22,10.2,0
white,7.8,0.32,12.2,42.0,138.0,0.9984,0.24,0.054,0.54,3.01,8.8,0
white,7.4,0.31,6.85,31.0,131.0,0.9952,0.16,0.059,0.34,3.29,9.7,0
white,6.9,0.28,5.0,14.0,146.0,0.9952,0.19,0.058,0.36,3.29,9.1,1
